Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2022	2/1/2024	8220123
Hon.	Khanna	Rohit		O	CA17	2022	8/9/2023	8219881
Hon.	Khanna	Rohit		P	CA17	2022	1/7/2022	8218518
Hon.	Khanna	Rohit		P	CA17	2022	2/8/2022	8218560
Hon.	Khanna	Rohit		P	CA17	2022	3/8/2022	8218597
Hon.	Khanna	Rohit		P	CA17	2022	4/7/2022	8218637
Hon.	Khanna	Rohit		P	CA17	2022	5/6/2022	8218730
Hon.	Khanna	Rohit		P	CA17	2022	6/10/2022	8218940
Hon.	Khanna	Rohit		P	CA17	2022	7/7/2022	8219068
Hon.	Khanna	Rohit		P	CA17	2022	8/9/2022	8219155
Hon.	Khanna	Rohit		P	CA17	2022	9/8/2022	8219207
Hon.	Khanna	Rohit		P	CA17	2022	10/7/2022	8219242
Hon.	Khanna	Rohit		P	CA17	2022	11/10/2022	8219275
Hon.	Khanna	Rohit		P	CA17	2022	12/6/2022	8219288
Hon.	Khanna	Rohit		P	CA17	2022	1/6/2023	8219318
Hon.	Khanna	Rohit		X	CA17	2022	4/14/2023	8219457
